"id" "group" "trial" "blockNumber" "retroCueCond" "duration" "deviation" "recallError" "attentionRating" "ratingRT" "Rating" "Cue"
"7575" "after" 32 "1" 0 2575.84100000025 -25 25 5 1708.0400000005 "After Test" "None"
"7575" "after" 32 "3" 0 1285.84200000181 58 58 7 1360.79700000235 "After Test" "None"
"7575" "after" 33 "3" 0 1305.46600000164 -15 15 8 1479.30699999956 "After Test" "None"
"7575" "after" 34 "2" 0 1869.26300000073 -168 168 8 1720.63599999936 "After Test" "None"
"7575" "after" 34 "4" 0 1469.89100000053 -51 51 7 1419.18700000201 "After Test" "None"
"7575" "after" 35 "2" 0 1684.30999999889 -128 128 6 1639.42300000018 "After Test" "None"
"7575" "after" 38 "2" 1 1430.37000000163 128 128 7 1536.98999999894 "After Test" "Valid"
"7575" "after" 40 "2" 0 1364.53300000017 -10 10 7 1470.89799999993 "After Test" "None"
"7575" "after" 40 "3" 1 1859.82300000195 -152 152 3 1674.42199999932 "After Test" "Valid"
"7575" "after" 42 "2" 0 1384.37499999884 -5 5 7 1597.81300000113 "After Test" "None"
"7575" "after" 42 "3" 1 1216.04000000004 -57 57 5 1489.09299999988 "After Test" "Valid"
"7575" "after" 42 "4" 1 1283.61600000062 36 36 8 1475.96400000155 "After Test" "Valid"
"7575" "after" 43 "3" 0 1546.28299999912 48 48 6 1471.24200000195 "After Test" "None"
"7575" "after" 43 "4" -1 1423.23600000003 11 11 6 1402.01100000157 "After Test" "Invalid"
"7575" "after" 44 "3" -1 1292.05999999982 162 162 4 1345.91599999974 "After Test" "Invalid"
"7575" "after" 45 "1" 0 1798.91600000078 5 5 8 1613.16500000074 "After Test" "None"
"7575" "after" 46 "3" -1 1273.99200000102 171 171 5 1528.25500000175 "After Test" "Invalid"
"7575" "after" 47 "2" -1 1496.31700000167 -125 125 6 2079.12599999993 "After Test" "Invalid"
"7575" "after" 47 "4" 1 1200.43299999903 -32 32 7 1399.86099999957 "After Test" "Valid"
"7575" "after" 49 "2" 1 3242.09399999969 40 40 8 1437.30900000047 "After Test" "Valid"
"7575" "after" 6 "1" 0 2377.0240000012 29 29 6 1765.44500000088 "After Test" "None"
"7575" "after" 9 "2" 1 1273.83299999987 -6 6 8 1570.59400000109 "After Test" "Valid"
"7576" "before" 0 "3" 0 1319.80199999653 -112 112 2 3281.94600000256 "Before Test" "None"
"7576" "before" 11 "1" 1 1475.54899999709 -7 7 8 1215.91400001268 "Before Test" "Valid"
"7576" "before" 12 "1" 0 3573.63599999243 -28 28 3 1169.11899999098 "Before Test" "None"
"7576" "before" 14 "4" 0 2057.45300000207 -17 17 3 1313.60400001076 "Before Test" "None"
"7576" "before" 15 "4" 0 3387.74800000363 135 135 4 999.980000016978 "Before Test" "None"
"7576" "before" 16 "4" 1 1223.49700000649 26 26 6 945.59499999159 "Before Test" "Valid"
"7576" "before" 17 "4" -1 989.335000014398 -100 100 7 1126.71000000066 "Before Test" "Invalid"
"7576" "before" 19 "1" 0 2730.82800001244 36 36 6 1381.52300001413 "Before Test" "None"
"7576" "before" 20 "3" 1 4060.71800000872 43 43 4 1608.47700001439 "Before Test" "Valid"
"7576" "before" 20 "4" 1 3550.93500001426 20 20 7 1112.5709999979 "Before Test" "Valid"
"7576" "before" 21 "2" 1 1543.85700001789 -17 17 6 1253.62900000741 "Before Test" "Valid"
"7576" "before" 24 "2" -1 1403.56300000078 -9 9 7 1125.03300001437 "Before Test" "Invalid"
"7576" "before" 25 "4" -1 1698.81299999077 150 150 7 907.38399999612 "Before Test" "Invalid"
"7576" "before" 26 "2" 0 1968.89799999632 44 44 6 1037.95599999244 "Before Test" "None"
"7576" "before" 28 "3" -1 1099.26399999973 -103 103 4 1182.5019999959 "Before Test" "Invalid"
"7576" "before" 28 "4" 1 1164.86200001626 23 23 8 877.62899999111 "Before Test" "Valid"
"7576" "before" 29 "2" 0 2352.87300000759 57 57 6 1163.50500001665 "Before Test" "None"
"7576" "before" 3 "3" 1 1440.00200001267 0 0 4 1536.99200001766 "Before Test" "Valid"
"7576" "before" 33 "2" 1 1429.40400000662 4 4 6 794.354000015301 "Before Test" "Valid"
"7576" "before" 33 "3" 0 1880.12100001075 61 61 4 1204.00500000129 "Before Test" "None"
"7576" "before" 35 "1" 1 2360.67700000678 -7 7 6 2378.47399999981 "Before Test" "Valid"
"7576" "before" 35 "2" 1 1271.08699999703 -12 12 7 1153.92099999497 "Before Test" "Valid"
"7576" "before" 36 "3" 1 1907.67299999227 0 0 6 1125.02300000796 "Before Test" "Valid"
"7576" "before" 38 "1" 1 5381.08400000981 -24 24 4 1642.77000000118 "Before Test" "Valid"
"7576" "before" 39 "1" 0 2610.97899999341 -84 84 7 1206.74800000759 "Before Test" "None"
"7576" "before" 40 "2" 1 1274.08900000853 13 13 7 1031.4479999952 "Before Test" "Valid"
"7576" "before" 41 "2" -1 1125.27599999099 -104 104 7 1143.29200000549 "Before Test" "Invalid"
"7576" "before" 43 "1" -1 1784.88100000028 -6 6 7 1022.40500000224 "Before Test" "Invalid"
"7576" "before" 44 "1" -1 1896.2489999925 161 161 7 1170.63600000588 "Before Test" "Invalid"
"7576" "before" 45 "4" 1 1089.5289999994 -27 27 2 1197.49300000211 "Before Test" "Valid"
"7576" "before" 46 "4" 0 1684.28900000616 -5 5 3 1092.69200000353 "Before Test" "None"
"7576" "before" 47 "3" -1 1345.89299999666 -70 70 6 1056.92900000163 "Before Test" "Invalid"
